Code,Age Range,Disability,Housing Status,Gender,Race/Ethnicity,Educational Attainment,Initially Selected,Alternate,Dropped_Inclusive,Dropped
10027,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
10030,45-54,No,Own,Male,White,High_school,,nan,nan,nan
10234,65-74,No,Own,Female,White,High_school,,nan,nan,nan
10245,35-44,No,Rent,Male,Native_American,Some_college,YES,nan,YES,YES
10319,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
10353,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
10363,65-74,No,Own,Male,AAPI,Bachelors,YES,nan,YES,YES
10367,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
10369,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
10427,35-44,No,Own,Male,White,Bachelors,,nan,nan,nan
10440,25-34,No,Rent,Female,White,Bachelors,,YES,nan,nan
10447,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
10449,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
10468,45-54,No,Own,Female,AAPI,Some_college,,YES,nan,nan
10492,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
10513,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
10520,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
10640,45-54,Yes,Rent,Female,White,Bachelors,YES,nan,NO,NO
10653,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
10701,65-74,No,Own,Male,Latinx,High_school,YES,nan,YES,nan
10719,45-54,No,Rent,Male,White,Some_college,YES,nan,NO,NO
10764,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
10827,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
10828,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
10891,65-74,No,Own,Female,AAPI,Bachelors,,nan,nan,nan
10908,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
11135,55-64,No,Own,Female,Native_American,Some_college,,nan,nan,nan
11354,55-64,No,Own,Female,Multiracial,Some_college,,nan,nan,nan
11360,55-64,No,Rent,Male,Native_American,High_school,,nan,nan,nan
11376,75_and_up,Yes,Own,Female,White,Some_college,,nan,nan,nan
11671,65-74,No,Own,Female,White,Some_college,,nan,nan,nan
11709,75_and_up,No,Own,Male,White,Bachelors,,YES,nan,nan
11779,35-44,No,Own,Male,White,Bachelors,,nan,nan,nan
11782,65-74,Yes,Rent,Female,White,Some_college,,nan,nan,nan
11817,45-54,No,Own,Female,Native_American,Bachelors,,nan,nan,nan
11838,45-54,No,Own,Female,Multiracial,Some_college,,nan,nan,nan
11917,45-54,No,Own,Male,Multiracial,Bachelors,,nan,nan,nan
11979,45-54,No,Own,Female,White,Some_college,,nan,nan,nan
12030,25-34,No,Rent,Female,White,Bachelors,YES,nan,YES,nan
12036,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
12052,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
12054,25-34,No,Rent,Male,White,Some_college,,YES,nan,nan
12077,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
12090,35-44,No,Own,Male,White,Bachelors,,nan,nan,nan
12117,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
12175,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
12233,45-54,Yes,Own,Female,White,Some_college,,nan,nan,nan
12264,75_and_up,No,Rent,Female,White,Some_college,,YES,nan,nan
12342,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
12410,65-74,No,Rent,Female,White,Bachelors,,nan,nan,nan
12459,45-54,No,Own,Female,AAPI,Bachelors,,nan,nan,nan
12574,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
12601,75_and_up,No,Rent,Male,Native_American,Bachelors,YES,nan,YES,YES
12615,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
12689,35-44,No,Own,Male,Multiracial,Some_college,,nan,nan,nan
12722,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
12760,25-34,No,Own,Male,White,Bachelors,,nan,nan,nan
12762,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
12777,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
12789,55-64,No,Own,Female,Latinx,Some_college,YES,nan,YES,nan
12793,65-74,Yes,Rent,Female,White,Some_college,,nan,nan,nan
12813,55-64,No,Rent,Male,White,High_school,,nan,nan,nan
12822,35-44,No,Rent,Female,White,Bachelors,YES,nan,YES,nan
12839,65-74,No,Own,Male,Multiracial,Bachelors,,nan,nan,nan
12865,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
13102,65-74,No,Own,Female,Latinx,Some_college,YES,nan,YES,nan
13122,35-44,No,Own,Female,White,Bachelors,,nan,nan,nan
13198,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
13211,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
13215,65-74,No,Rent,Male,White,Bachelors,,nan,nan,nan
13257,45-54,No,Rent,Female,Latinx,Some_college,YES,nan,YES,YES
13281,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
13293,45-54,No,Rent,Female,White,Bachelors,,YES,nan,nan
13355,35-44,No,Own,Female,White,Bachelors,,nan,nan,nan
13381,75_and_up,No,Own,Male,White,Some_college,,nan,nan,nan
13390,65-74,No,Own,Male,White,Some_college,,nan,nan,nan
13396,45-54,Yes,Own,Female,White,Some_college,,nan,nan,nan
13412,65-74,No,Rent,Male,Black,Bachelors,YES,nan,NO,NO
13458,65-74,No,Own,Female,White,Some_college,,nan,nan,nan
13486,55-64,No,Rent,Male,White,Bachelors,,nan,nan,nan
13489,65-74,No,Own,Female,White,High_school,,YES,nan,nan
13502,55-64,No,Own,Male,White,Some_college,,nan,nan,nan
13511,75_and_up,Yes,Own,Male,White,Some_college,,nan,nan,nan
13513,55-64,No,Rent,Female,White,Bachelors,,nan,nan,nan
13576,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
13613,45-54,No,Rent,Male,White,Bachelors,,nan,nan,nan
13621,75_and_up,No,Rent,Female,White,Bachelors,,nan,nan,nan
13637,55-64,No,Own,Male,White,Some_college,,YES,nan,nan
13706,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
13749,45-54,No,Own,Female,White,Bachelors,,nan,nan,nan
13818,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
13840,35-44,No,Own,Female,White,Bachelors,,nan,nan,nan
13903,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
13913,45-54,No,Rent,Female,White,Bachelors,,nan,nan,nan
14002,35-44,No,Own,Male,White,Bachelors,,nan,nan,nan
14197,65-74,No,Own,Male,White,Some_college,,nan,nan,nan
14273,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
14283,35-44,No,Own,Female,White,Some_college,,nan,nan,nan
14425,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
14456,25-34,No,Rent,Male,AAPI,Bachelors,,nan,nan,nan
14501,75_and_up,No,Own,Male,White,Some_schooling,,nan,nan,nan
14514,75_and_up,No,Own,Female,White,Some_college,,nan,nan,nan
14545,25-34,No,Own,Male,White,Some_college,YES,nan,YES,nan
14555,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
14573,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
14853,45-54,No,Own,Female,White,Bachelors,,nan,nan,nan
14712,75_and_up,No,Rent,Female,White,Bachelors,,nan,nan,nan
17434,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
14777,75_and_up,Yes,Rent,Male,White,Bachelors,,nan,nan,nan
14822,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
14858,55-64,Yes,Own,Female,White,Bachelors,,nan,nan,nan
14865,35-44,No,Own,Female,White,Bachelors,,nan,nan,nan
14872,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
14878,65-74,No,Own,Female,White,Some_college,,nan,nan,nan
14905,75_and_up,No,Own,Female,White,Some_college,,nan,nan,nan
14951,75_and_up,No,Own,Female,Latinx,Bachelors,YES,nan,NO,NO
14978,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
14983,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
14995,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
15202,75_and_up,No,Own,Female,White,High_school,,nan,nan,nan
15223,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
15338,45-54,No,Rent,Male,White,Bachelors,,YES,nan,nan
15375,45-54,No,Rent,Female,White,Bachelors,,nan,nan,nan
15429,75_and_up,No,Rent,Male,White,Bachelors,,nan,nan,nan
15445,25-34,No,Own,Female,Latinx,Bachelors,YES,nan,NO,NO
15448,55-64,No,Rent,Male,White,Some_college,YES,nan,NO,NO
15482,45-54,No,Own,Female,Multiracial,Some_schooling,YES,nan,YES,YES
15499,65-74,No,Own,Female,Latinx,Some_college,YES,nan,NO,NO
15525,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
15591,55-64,Yes,Rent,Female,White,Some_college,,YES,nan,nan
15610,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
15645,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
15659,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
15737,35-44,No,Own,Female,White,Some_college,,nan,NO,NO
15749,65-74,Yes,Own,Female,White,High_school,,nan,nan,nan
15766,25-34,No,Rent,Male,Multiracial,Bachelors,,nan,nan,nan
15798,75_and_up,No,Own,Male,Multiracial,High_school,,nan,nan,nan
15869,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
15952,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
16030,65-74,No,Own,Female,White,Some_college,,nan,NO,NO
16119,65-74,Yes,Own,Male,AAPI,Some_college,YES,nan,NO,NO
16143,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
16154,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
16160,35-44,No,Own,Male,Latinx,Bachelors,YES,nan,YES,nan
16165,75_and_up,Yes,Rent,Male,White,Some_schooling,,nan,nan,nan
16256,25-34,No,Own,Female,White,Some_college,,nan,nan,nan
16386,65-74,Yes,Own,Female,White,Bachelors,,nan,nan,nan
16510,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
16581,65-74,Yes,Own,Female,White,High_school,,nan,nan,nan
16617,65-74,No,Own,Female,White,Some_college,,nan,nan,nan
16633,35-44,No,Own,Male,Multiracial,Some_college,,nan,nan,nan
16721,65-74,No,Own,Male,White,Some_college,,nan,nan,nan
16725,45-54,Yes,Own,Male,Multiracial,Bachelors,,nan,nan,nan
16785,45-54,No,Own,Male,White,Bachelors,,nan,nan,nan
16806,65-74,No,Rent,Female,White,Bachelors,,nan,nan,nan
16912,25-34,No,Rent,Female,Multiracial,Bachelors,,YES,nan,nan
17026,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
17085,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
17087,75_and_up,No,Own,Female,White,Some_college,,nan,nan,nan
17102,45-54,No,Own,Female,White,Bachelors,,nan,nan,nan
17166,65-74,Yes,Own,Female,White,Some_college,,YES,nan,nan
17399,65-74,No,Rent,Female,White,Bachelors,,YES,nan,nan
17460,25-34,No,Own,Female,Latinx,Bachelors,YES,nan,NO,NO
17489,75_and_up,Yes,Own,Male,Native_American,Some_schooling,,YES,nan,nan
17534,55-64,No,Own,Male,White,Some_college,,nan,nan,nan
17565,45-54,No,Own,Female,White,Some_college,,nan,nan,nan
17689,55-64,No,Rent,Female,Multiracial,Bachelors,,YES,nan,nan
17698,65-74,No,Own,Male,White,High_school,,nan,nan,nan
17730,75_and_up,No,Own,Female,White,High_school,YES,nan,NO,NO
17792,45-54,No,Own,Female,White,Bachelors,,nan,nan,nan
17808,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
17856,55-64,Yes,Own,Male,White,Bachelors,,nan,nan,nan
17905,35-44,No,Own,Male,White,High_school,YES,nan,YES,nan
17973,35-44,Yes,Rent,Male,Multiracial,Bachelors,,YES,nan,nan
18078,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
18082,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
18091,35-44,No,Own,Female,White,Bachelors,,YES,nan,nan
18118,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
18184,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
18214,65-74,Yes,Own,Male,White,Some_college,,nan,nan,nan
18279,75_and_up,No,Own,Female,White,Some_college,,nan,nan,nan
18419,55-64,No,Own,Male,Native_American,Bachelors,,nan,nan,nan
18485,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
18533,55-64,No,Own,Female,White,Bachelors,,YES,nan,nan
18566,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
18798,25-34,No,Own,Male,White,Bachelors,,nan,nan,nan
18808,65-74,No,Own,Female,AAPI,Bachelors,,YES,nan,nan
18876,75_and_up,No,Own,Female,White,Some_college,,nan,nan,nan
18891,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
18958,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
19025,45-54,No,Rent,Female,White,Bachelors,,nan,nan,nan
19078,45-54,No,Own,Female,White,Bachelors,,nan,nan,nan
19135,45-54,No,Rent,Female,White,Bachelors,,YES,nan,nan
19181,35-44,No,Rent,Female,Native_American,Some_college,,YES,nan,nan
19237,45-54,No,Own,Female,Black,Some_college,YES,nan,NO,NO
19252,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
19303,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
19307,65-74,No,Own,Female,White,Bachelors,,nan,nan,nan
19312,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
19394,75_and_up,No,Rent,Male,White,Bachelors,,YES,nan,nan
19399,55-64,No,Own,Female,Latinx,Some_schooling,YES,nan,NO,NO
19418,65-74,No,Own,Female,White,Some_college,,nan,nan,nan
19419,55-64,No,Own,Male,White,Bachelors,YES,nan,NO,NO
19427,55-64,No,Own,Male,White,Some_college,,nan,nan,nan
19461,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
19550,55-64,No,Rent,Female,White,Some_college,,nan,NO,NO
19610,75_and_up,No,Rent,Female,White,Some_college,,nan,nan,nan
19673,55-64,Yes,Own,Female,White,Bachelors,,nan,nan,nan
19694,65-74,No,Own,Male,White,Some_college,,nan,nan,nan
19720,55-64,No,Own,Female,Latinx,Some_schooling,YES,nan,YES,nan
19833,55-64,No,Own,Female,White,Bachelors,,nan,nan,nan
19837,65-74,No,Rent,Female,White,Some_college,,nan,nan,nan
19838,75_and_up,No,Own,Male,Latinx,Some_college,YES,nan,NO,NO
19910,75_and_up,No,Rent,Female,White,Bachelors,,nan,nan,nan
10043a,55-64,No,Rent,Male,White,Bachelors,YES,nan,YES,YES
10043b,45-54,No,Rent,Female,White,Bachelors,,nan,nan,nan
10098a,55-64,No,Rent,Male,Latinx,Bachelors,,nan,NO,NO
10098b,16-24,No,Rent,Male,Multiracial,Some_college,YES,nan,NO,NO
10606a,45-54,No,Own,Female,Multiracial,Bachelors,,nan,nan,nan
10606b,35-44,No,Own,Male,AAPI,Some_college,,YES,nan,nan
10820a,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
11211a,55-64,No,Own,Male,White,High_school,,YES,nan,nan
11211b,55-64,No,Own,Female,White,High_school,,YES,nan,nan
11314a,25-34,No,Rent,Male,White,Bachelors,,YES,nan,nan
11314b,35-44,No,Rent,Female,White,Bachelors,,nan,nan,nan
11333a,35-44,No,Own,Male,White,Bachelors,,nan,nan,nan
11333b,45-54,No,Own,Female,Multiracial,Bachelors,,nan,nan,nan
12752a,65-74,No,Own,Female,White,Some_college,,nan,nan,nan
12752b,35-44,Yes,Rent,Female,White,Bachelors,,nan,nan,nan
12752c,65-74,No,Own,Male,White,Some_college,,nan,nan,nan
13351a,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
13351b,55-64,No,Own,Male,White,Some_college,,nan,nan,nan
13686a,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
13686b,75_and_up,No,Own,Female,White,Some_college,,nan,nan,nan
14560a,35-44,No,Own,Male,White,High_school,,nan,nan,nan
14560b,25-34,No,Own,Female,White,Bachelors,,nan,nan,nan
14571b,35-44,No,Own,Female,White,Bachelors,,nan,nan,nan
14797a,45-54,No,Own,Female,White,Some_college,,nan,nan,nan
14797b,45-54,No,Own,Male,White,Some_college,,YES,nan,nan
14924a,16-24,No,Own,Male,White,Some_schooling,YES,nan,NO,NO
14924c,45-54,No,Own,Male,Latinx,Some_college,,nan,nan,nan
14924d,35-44,No,Own,Female,White,Bachelors,,nan,nan,nan
15148b,35-44,No,Own,Male,Latinx,Bachelors,YES,nan,YES,nan
15170a,35-44,No,Rent,Male,Latinx,Some_college,YES,nan,YES,nan
15170b,35-44,No,Rent,Female,White,Bachelors,,nan,NO,NO
15676a,35-44,No,Own,Female,White,Bachelors,,nan,nan,nan
15782b,35-44,No,Own,Male,White,Some_college,,YES,nan,nan
16366a,45-54,No,Own,Male,White,Bachelors,,nan,nan,nan
16366b,45-54,No,Own,Female,Multiracial,Some_college,,YES,nan,nan
16807a,65-74,No,Own,Male,White,Bachelors,,nan,nan,nan
16807b,65-74,No,Own,Female,White,Some_college,,nan,nan,nan
16907b,35-44,No,Own,Male,White,Some_college,,nan,nan,nan
17074a,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
17074b,65-74,No,Own,Female,Multiracial,High_school,,nan,nan,nan
17270a,25-34,No,Own,Male,Multiracial,Bachelors,,nan,nan,nan
17270b,25-34,No,Own,Female,Multiracial,Some_college,,nan,nan,nan
17804a,25-34,No,Own,Female,White,Bachelors,YES,nan,NO,NO
18291a,75_and_up,No,Own,Male,White,Bachelors,,nan,nan,nan
18291b,75_and_up,No,Own,Female,White,Bachelors,,nan,nan,nan
18701b,55-64,No,Own,Male,White,Some_college,,YES,nan,nan
18856a,55-64,No,Own,Female,White,Some_college,,nan,nan,nan
18856b,55-64,No,Own,Male,White,Bachelors,,nan,nan,nan
19174a,35-44,No,Own,Female,White,Some_college,,nan,nan,nan
19174b,65-74,No,Own,Female,White,High_school,,YES,nan,nan
19243a,55-64,Yes,Own,Male,White,Some_college,,nan,nan,nan
19243b,55-64,No,Own,Female,White,High_school,YES,nan,YES,nan
19818a,25-34,No,Rent,Male,White,High_school,,nan,nan,nan
19818b,16-24,No,Rent,Female,White,High_school,YES,nan,NO,NO
17644,45-54,No,Own,Female,Latinx,Bachelors,,nan,NO,NO
12830,35-44,Yes,Rent,Female,Latinx,High_school,,nan,YES,nan
